entity_id,dimension,value,is_primary
39,sector,mental_health,0
39,sector,housing,0
39,sector,funding_grants,0
39,sector,immigration_settlement,0
39,sector,disability_support,0
39,region,ON,1
40,population,general_public,1
40,sector,funding_grants,1
40,region,national,1
41,population,Indigenous,1
41,population,newcomers,0
41,sector,employment,1
41,sector,education,0
41,sector,healthcare,0
41,sector,mental_health,0
41,sector,housing,0
41,sector,immigration_settlement,0
41,region,national,1
42,population,general_public,1
42,sector,public_services,1
42,region,national,1
43,population,general_public,1
43,sector,public_services,1
43,region,national,1
44,population,general_public,1
44,sector,public_services,1
44,region,national,1
45,population,general_public,1
45,sector,employment,1
45,sector,healthcare,0
45,sector,housing,0
45,region,national,1
46,population,general_public,1
46,sector,healthcare,1
46,region,national,1
47,population,Indigenous,1
47,population,youth,0
47,population,women,0
47,sector,employment,1
47,sector,skills_training,0
47,sector,education,0
47,sector,healthcare,0
47,sector,mental_health,0
47,sector,housing,0
47,sector,funding_grants,0
47,region,national,1
48,population,disabilities,1
48,sector,disability_support,1
48,region,national,1
49,population,general_public,1
49,sector,public_services,1
49,region,national,1
50,population,disabilities,1
50,sector,disability_support,1
50,region,national,1
51,population,general_public,1
51,sector,housing,1
51,region,national,1
52,population,Indigenous,1
52,population,disabilities,0
52,population,women,0
52,sector,employment,1
52,region,national,1
53,population,general_public,1
53,sector,employment,1
53,region,national,1
54,population,disabilities,1
54,sector,disability_support,1
54,region,national,1
55,population,disabilities,1
55,sector,public_services,1
55,region,national,1
56,population,general_public,1
56,sector,employment,1
56,region,national,1
57,population,Indigenous,1
57,population,disabilities,0
57,population,women,0
57,sector,employment,1
57,region,national,1
58,population,general_public,1
58,sector,employment,1
58,region,national,1
59,population,disabilities,1
59,sector,employment,1
59,sector,disability_support,0
59,region,national,1
60,population,general_public,1
60,sector,employment,1
60,region,national,1
61,population,general_public,1
61,sector,employment,1
61,region,national,1
62,population,general_public,1
62,sector,employment,1
62,region,national,1
63,population,general_public,1
63,sector,employment,1
63,region,national,1
64,population,disabilities,1
64,sector,employment,1
64,region,national,1
65,population,youth,1
65,sector,employment,1
65,region,national,1
66,population,disabilities,1
66,sector,employment,1
66,region,national,1
67,population,disabilities,1
67,sector,employment,1
67,sector,disability_support,0
67,region,national,1
68,population,disabilities,1
68,sector,employment,1
68,sector,disability_support,0
68,region,national,1
69,population,disabilities,1
69,sector,employment,1
69,sector,healthcare,0
69,sector,housing,0
69,sector,disability_support,0
69,region,national,1
70,population,disabilities,1
70,sector,employment,1
70,region,national,1
71,population,disabilities,1
71,sector,employment,1
71,sector,healthcare,0
71,sector,funding_grants,0
71,sector,disability_support,0
71,region,national,1
72,population,general_public,1
72,sector,public_services,1
72,region,national,1
73,population,general_public,1
73,sector,healthcare,1
73,sector,language_training,0
73,region,national,1
74,population,Indigenous,1
74,population,newcomers,0
74,sector,mental_health,1
74,sector,housing,0
74,sector,funding_grants,0
74,region,national,1
75,population,general_public,1
75,sector,employment,1
75,region,national,1
76,population,general_public,1
76,sector,employment,1
76,sector,education,0
76,region,national,1
77,population,general_public,1
77,sector,employment,1
77,region,national,1
78,population,general_public,1
78,sector,employment,1
78,region,national,1
79,population,general_public,1
79,sector,employment,1
79,region,national,1
80,population,disabilities,1
80,sector,employment,1
80,sector,disability_support,0
80,region,national,1
81,population,seniors,1
81,sector,employment,1
81,region,national,1
82,population,general_public,1
82,sector,employment,1
82,region,national,1
83,population,disabilities,1
83,sector,education,1
83,sector,healthcare,0
83,sector,disability_support,0
83,region,national,1
84,population,general_public,1
84,sector,public_services,1
84,region,national,1
85,population,disabilities,1
85,sector,employment,1
85,sector,disability_support,0
85,region,national,1
86,population,newcomers,1
86,population,disabilities,0
86,sector,employment,1
86,sector,housing,0
86,sector,immigration_settlement,0
86,sector,disability_support,0
86,region,national,1
